symbol,location,latitude,longitude,in_both
LUV,"Dallas, Texas",32.7766642,-96.7969879,TRUE
SPGI,"New York, New York",36.1023715,-115.1745559,TRUE
SWK,"New Britain, Connecticut",41.6612104,-72.7795419,TRUE
SBUX,"Seattle, Washington",47.6062095,-122.3320708,TRUE
STT,"Boston, Massachusetts",42.3600825,-71.0588801,TRUE
SYK,"Kalamazoo, Michigan",42.2917069,-85.5872286,TRUE
STI,"Atlanta, Georgia",33.7489954,-84.3879824,TRUE
SIVB,"Santa Clara, California",37.3541079,-121.9552356,TRUE
SYMC,"Mountain View, California",37.3860517,-122.0838511,TRUE
SYF,"Stamford, Connecticut",41.0534302,-73.5387341,TRUE
SNPS,"Mountain View, California",37.3860517,-122.0838511,TRUE
SYY,"Houston, Texas",29.7604267,-95.3698028,TRUE
TROW,"Baltimore, Maryland",39.2903848,-76.6121893,TRUE
TTWO,"New York, New York",36.1023715,-115.1745559,TRUE
TPR,"New York, New York",36.1023715,-115.1745559,TRUE
TGT,"Minneapolis, Minnesota",44.977753,-93.2650108,TRUE
TEL,"Schaffhausen, Switzerland",47.6958897,8.6380489,TRUE
FTI,"London, United Kingdom",51.5073509,-0.1277583,TRUE
TFX,"Wayne, Pennsylvania",40.0415996,-75.3698895,FALSE
TXN,"Dallas, Texas",32.7766642,-96.7969879,TRUE
TXT,"Providence, Rhode Island",41.8239891,-71.4128343,TRUE
TMO,"Waltham, Massachusetts",42.3764852,-71.2356113,TRUE
TIF,"New York, New York",36.1023715,-115.1745559,TRUE
TWTR,"San Francisco, California",37.7749295,-122.4194155,FALSE
TJX,"Framingham, Massachusetts",42.279286,-71.4161565,TRUE
TMK,"McKinney, Texas",33.1972465,-96.6397822,TRUE
TSS,"Columbus, Georgia",32.4609764,-84.9877094,TRUE
TSCO,"Brentwood, Tennessee",36.0331164,-86.7827772,TRUE
TDG,"Cleveland, Ohio",41.49932,-81.6943605,TRUE
TRV,"New York, New York",36.1023715,-115.1745559,TRUE
TRIP,"Newton, Massachusetts",42.3370413,-71.2092214,TRUE
TSN,"Springdale, Arkansas",36.1867442,-94.1288141,TRUE
UDR,"Highlands Ranch, Colorado",39.5480789,-104.9739333,TRUE
ULTA,"Bolingbrook, Illinois",41.6986416,-88.0683955,TRUE
USB,"Minneapolis, Minnesota",44.977753,-93.2650108,TRUE
UAA,"Baltimore, Maryland",39.2903848,-76.6121893,TRUE
UA,"Baltimore, Maryland",39.2903848,-76.6121893,TRUE
UNP,"Omaha, Nebraska",41.2565369,-95.9345034,TRUE
UAL,"Chicago, Illinois",41.8781136,-87.6297982,TRUE
UNH,"Minnetonka, Minnesota",44.9211836,-93.4687489,TRUE
UPS,"Atlanta, Georgia",33.7489954,-84.3879824,TRUE
URI,"Stamford, Connecticut",41.0534302,-73.5387341,TRUE
UTX,"Hartford, Connecticut",41.7658043,-72.6733723,TRUE
UHS,"King of Prussia, Pennsylvania",40.1012856,-75.3835525,TRUE
UNM,"Chattanooga, Tennessee",35.0456297,-85.3096801,TRUE
VFC,"Greensboro, North Carolina",36.0726354,-79.7919754,TRUE
VLO,"San Antonio, Texas",29.4241219,-98.4936282,TRUE
VAR,"Palo Alto, California",37.4418834,-122.1430195,TRUE
VTR,"Chicago, Illinois",41.8781136,-87.6297982,TRUE
VRSN,"Dulles, Virginia",38.9624899,-77.4380485,TRUE
VRSK,"Jersey City, New Jersey",40.7177545,-74.0431435,TRUE
VZ,"New York, New York",36.1023715,-115.1745559,TRUE
VRTX,"Cambridge, Massachusetts",42.3736158,-71.1097335,TRUE
VIAB,"New York, New York",36.1023715,-115.1745559,TRUE
V,"San Francisco, California",37.7749295,-122.4194155,TRUE
VNO,"New York, New York",36.1023715,-115.1745559,TRUE
VMC,"Birmingham, Alabama",33.5185892,-86.8103567,TRUE
WAB,"Wilmerding, Pennsylvania",40.3909023,-79.8100472,FALSE
WMT,"Bentonville, Arkansas",36.3728538,-94.2088172,TRUE
WBA,"Deerfield, Illinois",42.1711365,-87.8445119,TRUE
DIS,"Burbank, California",34.1808392,-118.3089661,TRUE
WM,"Houston, Texas",29.7604267,-95.3698028,TRUE
WAT,"Milford, Massachusetts",42.1398577,-71.5163049,TRUE
WEC,"Milwaukee, Wisconsin",43.0389025,-87.9064736,TRUE
WCG,"Tampa, Florida",27.950575,-82.4571776,FALSE
WFC,"San Francisco, California",37.7749295,-122.4194155,TRUE
WELL,"Toledo, Ohio",41.6528052,-83.5378674,TRUE
WDC,"Irvine, California",33.6845673,-117.8265049,TRUE
WU,"Englewood, Colorado",39.6477653,-104.9877597,TRUE
WRK,"Richmond, Virginia",37.5407246,-77.4360481,TRUE
WY,"Federal Way, Washington",47.3223221,-122.3126222,TRUE
WHR,"Benton Harbor, Michigan",42.1167065,-86.4541894,TRUE
WMB,"Tulsa, Oklahoma",36.1539816,-95.992775,TRUE
WLTW,"London, United Kingdom",51.5073509,-0.1277583,TRUE
WYNN,"Paradise, Nevada",36.0971945,-115.1466648,TRUE
XEL,"Minneapolis, Minnesota",44.977753,-93.2650108,TRUE
XRX,"Norwalk, Connecticut",41.117744,-73.4081575,TRUE
XLNX,"San Jose, California",37.3382082,-121.8863286,TRUE
XYL,"White Plains, New York",41.0339862,-73.7629097,TRUE
YUM,"Louisville, Kentucky",38.2526647,-85.7584557,TRUE
ZBH,"Warsaw, Indiana",41.2381,-85.8530469,TRUE
ZION,"Salt Lake City, Utah",40.7607793,-111.8910474,TRUE
ZTS,"Florham Park, New Jersey",40.787878,-74.3882072,TRUE
